Type,No,% No,Weight (kg),% Weight,FRQ,% FRQ,IRI,% IRI,H`,J`
Grey,47516,32.5,177.547,42.2,5205,86.8,6484,63.7,0.365,
Black,4918,3.4,177.455,42.2,3141,52.4,2385,23.4,0.114,
Shrimp,91519,62.6,33.204,7.9,1007,16.8,1184,11.6,0.293,
Snake,222,0.2,18.367,4.4,801,13.4,60,0.6,0.01,
White,1718,1.2,7.522,1.8,1140,19,56,0.6,0.052,
Snail,302,0.2,4.727,1.1,250,4.2,6,0.1,0.013,
Crab,32,0,0.981,0.2,85,1.4,0,0,0.002,
Turtle,5,0,1.118,0.3,6,0.1,0,0,0,
Frog,23,0,0.015,0,5,0.1,0,0,0.001,
Insect,5,0,0.008,0,7,0.1,0,0,0,
N/A,1,0,0.005,0,5,0.1,0,0,0,
Aquatic insects,0,0,0,0,1,0,0,0,0,
Plants,0,0,0,0,1,0,0,0,0,
